chr	start	end	gene_id	strand	PAS
chr2	105846533	105857177	ENSG00000235522.6	-	105846533
chr2	106063245	106078155	ENSG00000119147.10	+	106078155
chr2	106391289	106468413	ENSG00000153165.19	-	106391289
chr2	107254690	107365873	ENSG00000229457.1	-	107254690
chr2	107823062	107826891	ENSG00000230651.8	-	107823062
chr2	107986522	108013994	ENSG00000115665.9	+	108013994
chr2	108894470	108989372	ENSG00000135960.10	-	108894470
chr2	109127326	109128930	ENSG00000259863.1	-	109127326
chr2	109758798	109760364	ENSG00000282033.1	-	109758798
chr2	109898427	109925625	ENSG00000256977.13	+	109925625
chr2	109933160	109968577	ENSG00000290731.1	+	109968577
chr2	109947671	109974085	ENSG00000186148.14	+	109974085
chr2	110375137	110384442	ENSG00000175772.11	-	110375137
chr2	110386376	110388163	ENSG00000230596.3	-	110386376
chr2	110386410	110433673	ENSG00000273471.1	-	110386410
chr2	110397405	110423834	ENSG00000184115.18	-	110397405
chr2	110402913	110435166	ENSG00000290733.1	-	110402913
chr2	110402933	110473075	ENSG00000257207.5	-	110402933
chr2	110445882	110473075	ENSG00000256671.7	-	110445882
chr2	111210994	111212476	ENSG00000271590.1	-	111210994
chr2	112368368	112434488	ENSG00000169629.12	-	112368368
chr2	112773924	112784493	ENSG00000115008.6	-	112773924
chr2	112829750	112836816	ENSG00000125538.12	-	112829750
chr2	112911164	112918882	ENSG00000125571.10	+	112918882
chr2	113022088	113052867	ENSG00000136696.11	-	113022088
chr2	113067969	113075843	ENSG00000136697.13	+	113075843
chr2	113432599	113436042	ENSG00000272563.1	+	113436042
chr2	113498664	113501150	ENSG00000184492.7	+	113501150
chr2	113512221	113515488	ENSG00000234148.3	+	113515488
chr2	113526835	113542738	ENSG00000231943.11	-	113526835
chr2	113599035	113601261	ENSG00000236397.3	-	113599035
chr2	113888202	113889767	ENSG00000270019.2	-	113888202
chr2	114828431	114833548	ENSG00000231538.1	-	114828431
chr2	117998744	117999480	ENSG00000272895.1	+	117999480
chr2	118014173	118015679	ENSG00000279227.2	+	118015679
chr2	118766964	118835110	ENSG00000258910.3	-	118766964
chr2	119156242	119158751	ENSG00000144119.4	-	119156242
chr2	119476427	119487346	ENSG00000231013.2	+	119487346
chr2	123443265	123444445	ENSG00000226708.1	-	123443265
chr2	126109760	126118023	ENSG00000226813.3	-	126109760
chr2	127023536	127025826	ENSG00000260634.2	-	127023536
chr2	127535682	127637729	ENSG00000169994.20	+	127637729
chr2	127645863	127652639	ENSG00000144230.17	+	127652639
chr2	127886555	127887185	ENSG00000272667.1	+	127887185
chr2	129893984	129934340	ENSG00000291116.1	-	129893984
chr2	130139286	130145134	ENSG00000152076.19	-	130139286
chr2	130129620	130139417	ENSG00000290707.1	+	130139417
chr2	130191744	130198439	ENSG00000152086.9	-	130191744
chr2	130539094	130549883	ENSG00000290610.1	-	130539094
chr2	130680049	130685863	ENSG00000290699.1	+	130685863
chr2	130690132	130702428	ENSG00000240253.7	+	130702428
chr2	131034927	131047253	ENSG00000284479.2	+	131047253
chr2	130836913	131047263	ENSG00000136002.21	+	131047263
chr2	131209535	131265278	ENSG00000188219.16	+	131265278
chr2	131335501	131355769	ENSG00000284706.1	+	131355769
chr2	131303036	131355683	ENSG00000284604.1	+	131355683
chr2	131360491	131364168	ENSG00000233087.8	-	131360491
chr2	131461820	131463615	ENSG00000273073.1	-	131461820
chr2	131637024	131649615	ENSG00000224559.2	+	131649615
chr2	131983936	131994161	ENSG00000236485.1	-	131983936
chr2	132915556	132931494	ENSG00000233729.1	+	132931494
chr2	135787849	135837184	ENSG00000115850.10	-	135787849
chr2	136765544	137677718	ENSG00000144229.13	+	137677718
chr2	138599662	138602426	ENSG00000260059.1	-	138599662
chr2	142131177	142137830	ENSG00000244125.1	-	142131177
chr2	143601516	143608759	ENSG00000283994.1	+	143608759
chr2	144444847	144450450	ENSG00000283118.1	+	144450450
chr2	145600906	145603423	ENSG00000226218.1	-	145600906
chr2	148044379	148044894	ENSG00000281469.1	+	148044894
chr2	150169473	150356460	ENSG00000230645.2	+	150356460
chr2	150566133	150568080	ENSG00000237220.1	+	150568080
chr2	150612380	150635818	ENSG00000224048.6	+	150635818
chr2	151001219	151048774	ENSG00000222031.1	-	151001219
chr2	158166649	158236169	ENSG00000227480.2	+	158236169
chr2	158795316	158862781	ENSG00000163331.12	+	158862781
chr2	159386366	159404636	ENSG00000223642.7	+	159404636
chr2	160257715	160271880	ENSG00000285373.3	-	160257715
chr2	160849312	160850676	ENSG00000279844.1	-	160849312
chr2	162159761	162173223	ENSG00000236841.8	+	162173223
chr2	162768935	162797972	ENSG00000237750.2	+	162797972
chr2	165087525	165204050	ENSG00000153253.20	-	165087525
chr2	165957187	166390771	ENSG00000236107.10	+	166390771
chr2	166888479	167259753	ENSG00000163092.22	+	167259753
chr2	168771950	168786961	ENSG00000227617.9	-	168771950
chr2	168915497	169031324	ENSG00000073734.10	-	168915497
chr2	174025279	174027163	ENSG00000260868.1	+	174027163
chr2	174326026	174330643	ENSG00000231453.1	+	174330643
chr2	174487379	174488455	ENSG00000226853.5	+	174488455
chr2	175176492	175176586	ENSG00000200121.2	-	175176492
chr2	175897335	175904232	ENSG00000235047.1	+	175904232
chr2	175904370	175905502	ENSG00000229779.1	-	175904370
chr2	176077471	176083962	ENSG00000174279.5	-	176077471
chr2	176164163	176165716	ENSG00000272729.1	-	176164163
chr2	176177716	176179009	ENSG00000226363.4	+	176179009
chr2	176723613	176819310	ENSG00000230552.6	-	176723613
chr2	178541124	178541799	ENSG00000270956.1	+	178541799
chr2	178616580	178617123	ENSG00000271141.1	+	178617123
chr2	178644716	178645179	ENSG00000271401.1	+	178645179
chr2	178723456	178727046	ENSG00000267784.1	+	178727046
chr2	181086075	181409321	ENSG00000234663.7	+	181409321
chr2	185719873	185740479	ENSG00000226747.6	-	185719873
chr2	186354569	186356773	ENSG00000259915.2	-	186354569
chr2	186827474	186849208	ENSG00000163012.4	-	186827474
chr2	188598790	188839445	ENSG00000223523.1	-	188598790
chr2	188734154	188790104	ENSG00000174325.6	-	188734154
chr2	190454091	190454521	ENSG00000272979.1	-	190454091
chr2	191021525	191032314	ENSG00000231858.5	+	191032314
chr2	192749844	192776899	ENSG00000227418.6	+	192776899
chr2	193898366	193899394	ENSG00000260142.1	+	193899394
chr2	194344189	194576578	ENSG00000225539.9	+	194576578
chr2	196638421	196639497	ENSG00000282836.1	-	196638421
chr2	196804416	196809355	ENSG00000187944.5	-	196804416
chr2	197250857	197302519	ENSG00000236977.1	-	197250857
chr2	197486583	197516737	ENSG00000144381.18	-	197486583
chr2	200695722	200748040	ENSG00000284084.1	+	200748040
chr2	200695733	200734109	ENSG00000290905.1	+	200734109
chr2	201071432	201085750	ENSG00000119013.10	+	201085750
chr2	202178659	202179391	ENSG00000231903.1	-	202178659
chr2	203936762	203961577	ENSG00000163600.13	+	203961577
chr2	205756468	205764006	ENSG00000225216.6	-	205756468
chr2	206162227	206162359	ENSG00000207406.1	+	206162359
chr2	206175315	206218047	ENSG00000183671.13	-	206175315
chr2	206203542	206265326	ENSG00000279220.4	+	206265326
chr2	206821189	206822294	ENSG00000260171.1	-	206821189
chr2	207186716	207236066	ENSG00000234902.6	-	207186716
chr2	207753871	207754435	ENSG00000272851.1	-	207753871
chr2	207868577	207869934	ENSG00000225111.3	-	207868577
chr2	208128136	208129828	ENSG00000163254.5	-	208128136
chr2	208142572	208146158	ENSG00000182187.4	-	208142572
chr2	208160739	208163589	ENSG00000168582.5	-	208160739
chr2	212795299	212819264	ENSG00000234308.3	+	212819264
chr2	214411053	214578976	ENSG00000174453.10	+	214578976
chr2	214810180	214963575	ENSG00000229267.3	+	214963575
chr2	215274991	215277947	ENSG00000237571.1	+	215277947
chr2	215476666	215480248	ENSG00000228618.1	+	215480248
chr2	215453687	215486639	ENSG00000225166.2	+	215486639
chr2	216594358	216611206	ENSG00000225794.3	+	216611206
chr2	216859457	216860064	ENSG00000118245.2	-	216859457
chr2	216866331	216867813	ENSG00000237479.1	-	216866331
chr2	218059154	218065729	ENSG00000291236.1	-	218059154
chr2	218034959	218090584	ENSG00000188282.13	+	218090584
chr2	218125288	218137251	ENSG00000180871.8	+	218137251
chr2	218259495	218263861	ENSG00000179921.15	+	218263861
chr2	218274196	218292586	ENSG00000135926.15	-	218274196
chr2	218366660	218367885	ENSG00000225062.2	-	218366660
chr2	218818689	218819144	ENSG00000272555.1	+	218819144
chr2	218900810	218930636	ENSG00000228135.1	-	218900810
chr2	218959665	218962155	ENSG00000171450.6	+	218962155
chr2	218981086	218985184	ENSG00000163497.3	-	218981086
chr2	219002214	219015721	ENSG00000224090.1	+	219015721
chr2	219171896	219178106	ENSG00000115649.16	-	219171896
chr2	219388495	219403633	ENSG00000229525.1	+	219403633
chr2	219427476	219429319	ENSG00000280323.1	+	219429319
chr2	219497610	219498706	ENSG00000268603.2	-	219497610
chr2	219482072	219516877	ENSG00000227432.1	-	219482072
chr2	219514169	219538772	ENSG00000072182.14	+	219538772
chr2	219547210	219547658	ENSG00000268896.1	-	219547210
chr2	219559082	219559626	ENSG00000269068.1	+	219559626
chr2	219685380	219737937	ENSG00000227308.2	+	219737937
chr2	221572505	221574454	ENSG00000272944.1	+	221574454
chr2	224378697	224402107	ENSG00000124019.10	-	224378697
chr2	226804035	226805061	ENSG00000261379.1	+	226805061
chr2	227610089	227642365	ENSG00000290795.1	-	227610089
chr2	228475223	228841689	ENSG00000232023.3	-	228475223
chr2	230121369	230174223	ENSG00000225963.8	+	230174223
chr2	230203109	230313215	ENSG00000079263.19	+	230313215
chr2	230864638	230879248	ENSG00000135916.16	+	230879248
chr2	230907317	230961066	ENSG00000135898.10	-	230907317
chr2	230924566	230929919	ENSG00000283164.1	+	230929919
chr2	231395709	231401164	ENSG00000156966.7	+	231401164
chr2	231460370	231460440	ENSG00000202400.1	-	231460370
chr2	231592863	231594276	ENSG00000177673.4	+	231594276
chr2	231809845	231812352	ENSG00000261096.1	+	231812352
chr2	231921808	231926396	ENSG00000163273.4	-	231921808
chr2	232385749	232387044	ENSG00000290681.1	-	232385749
chr2	232456124	232460753	ENSG00000163295.5	+	232460753
chr2	232479826	232487834	ENSG00000171551.12	-	232479826
chr2	232520387	232525716	ENSG00000237412.7	+	232525716
chr2	233012613	233015885	ENSG00000222001.2	+	233015885
chr2	233351131	233353416	ENSG00000259793.1	-	233351131
chr2	233775678	233833423	ENSG00000185038.15	+	233833423
chr2	235773854	235783387	ENSG00000222007.6	-	235773854
chr2	236367559	236369102	ENSG00000270540.1	+	236369102
chr2	237048598	237056167	ENSG00000124835.2	-	237048598
chr2	237257090	237257676	ENSG00000224132.2	+	237257676
chr2	237421419	237425276	ENSG00000222022.1	-	237421419
chr2	238100339	238133287	ENSG00000144488.15	+	238133287
chr2	238152888	238155994	ENSG00000279484.2	-	238152888
chr2	238138667	238152947	ENSG00000168427.9	+	238152947
chr2	238231683	238255633	ENSG00000225057.2	+	238255633
chr2	238848031	238910534	ENSG00000233608.5	+	238910534
chr2	239538378	239544876	ENSG00000286188.1	+	239544876
chr2	239734955	239735538	ENSG00000259889.1	+	239735538
chr2	240582699	240586699	ENSG00000260942.1	-	240582699
chr2	240676417	240682906	ENSG00000185176.13	-	240676417
chr2	240686333	240690414	ENSG00000219159.4	+	240690414
chr2	240691865	240698483	ENSG00000184945.15	+	240698483
chr2	240906329	240993311	ENSG00000226321.6	+	240993311
chr2	241010044	241010744	ENSG00000229996.1	-	241010044
chr2	241800915	241801907	ENSG00000215023.2	-	241800915
chr2	241869599	241873823	ENSG00000188011.5	+	241873823
chr2	241893987	241902551	ENSG00000216921.9	-	241893987
chr2	242001208	242006013	ENSG00000280119.1	+	242006013
chr2	242087350	242088457	ENSG00000261186.2	-	242087350
chr20	87249	97094	ENSG00000178591.7	+	97094
chr20	142589	145751	ENSG00000125788.6	+	145751
chr20	267185	268857	ENSG00000272874.1	+	268857
chr20	297569	300321	ENSG00000247315.4	+	300321
chr20	661595	675802	ENSG00000215397.4	-	661595
chr20	958451	1002311	ENSG00000101282.9	-	958451
chr20	1629151	1657779	ENSG00000089012.14	-	1629151
chr20	2107899	2109991	ENSG00000286108.1	-	2107899
chr20	2658394	2664219	ENSG00000101365.21	-	2658394
chr20	2816301	2820284	ENSG00000198326.10	+	2820284
chr20	3046051	3048250	ENSG00000125901.6	+	3048250
chr20	3106912	3150867	ENSG00000235958.5	+	3150867
chr20	3753507	3767781	ENSG00000101220.18	-	3753507
chr20	4192931	4195953	ENSG00000230176.3	+	4195953
chr20	4731278	4740668	ENSG00000180259.10	-	4731278
chr20	5045760	5046276	ENSG00000277087.1	-	5045760
chr20	5061036	5061340	ENSG00000278816.1	-	5061036
chr20	5407563	5407876	ENSG00000276688.1	+	5407876
chr20	5507874	5510002	ENSG00000225640.1	-	5507874
chr20	5533627	5535889	ENSG00000235820.1	+	5535889
chr20	6000417	6000941	ENSG00000275632.1	+	6000941
chr20	7146466	7254202	ENSG00000228888.1	-	7146466
chr20	7189188	7258323	ENSG00000238102.4	-	7189188
chr20	7302055	7307432	ENSG00000261249.1	-	7302055
chr20	8248703	8256918	ENSG00000225479.1	+	8256918
chr20	10172700	10186740	ENSG00000232448.2	+	10186740
chr20	10696948	10754033	ENSG00000224961.3	+	10754033
chr20	10875332	10909279	ENSG00000232900.2	-	10875332
chr20	11800462	11878429	ENSG00000228422.5	-	11800462
chr20	11909403	11918677	ENSG00000236526.1	-	11909403
chr20	12305612	12316485	ENSG00000230437.1	-	12305612
chr20	12934876	12937097	ENSG00000269931.2	-	12934876
chr20	13244063	13245369	ENSG00000225956.1	-	13244063
chr20	13368290	13368703	ENSG00000278153.1	-	13368290
chr20	14554383	14636524	ENSG00000227927.2	+	14636524
chr20	14933842	14935363	ENSG00000237832.1	-	14933842
chr20	16580257	16580622	ENSG00000275728.1	+	16580622
chr20	17693671	17735871	ENSG00000125888.15	+	17735871
chr20	18289342	18359300	ENSG00000230010.2	-	18289342
chr20	18379048	18381484	ENSG00000237282.3	+	18381484
chr20	18567346	18569563	ENSG00000232388.5	+	18569563
chr20	19693208	19697576	ENSG00000232675.7	-	19693208
chr20	19756389	19758037	ENSG00000268628.2	-	19756389
chr20	20094400	20095684	ENSG00000241054.1	-	20094400
chr20	20368103	20370949	ENSG00000173404.5	+	20370949
chr20	21085575	21106514	ENSG00000225127.4	-	21085575
chr20	21148740	21162890	ENSG00000228604.3	-	21148740
chr20	21302730	21303704	ENSG00000275457.1	-	21302730
chr20	21397739	21400391	ENSG00000225280.7	+	21400391
chr20	21705658	21718481	ENSG00000125813.15	+	21718481
chr20	21937757	21970783	ENSG00000238034.2	+	21970783
chr20	22220553	22223283	ENSG00000234862.1	+	22223283
chr20	22587521	22607517	ENSG00000237396.1	-	22587521
chr20	23125067	23132635	ENSG00000233746.2	-	23125067
chr20	23179271	23190419	ENSG00000230387.5	+	23190419
chr20	23450402	23452876	ENSG00000125831.10	-	23450402
chr20	23489415	23489973	ENSG00000276638.1	-	23489415
chr20	23491100	23496010	ENSG00000125815.9	+	23496010
chr20	23564731	23568484	ENSG00000101435.5	-	23564731
chr20	23602409	23605917	ENSG00000173335.5	-	23602409
chr20	23631825	23632316	ENSG00000270001.1	-	23631825
chr20	23656150	23674888	ENSG00000286117.2	+	23674888
chr20	23722588	23745524	ENSG00000286270.2	+	23745524
chr20	23875933	23879748	ENSG00000170367.5	-	23875933
chr20	24297584	24318086	ENSG00000232200.2	-	24297584
chr20	24949268	24959928	ENSG00000077984.6	+	24959928
chr20	25062961	25063591	ENSG00000275358.1	-	25062961
chr20	25251007	25251304	ENSG00000274507.1	-	25251007
chr20	25680780	25681246	ENSG00000278383.1	+	25681246
chr20	25955794	25969288	ENSG00000226203.2	+	25969288
chr20	26188407	26196891	ENSG00000238129.5	+	26196891
chr20	30323366	30362276	ENSG00000231934.2	-	30323366
chr20	31368600	31373923	ENSG00000131068.4	+	31373923
chr20	31404844	31412838	ENSG00000204548.4	-	31404844
chr20	31421435	31429180	ENSG00000290996.1	-	31421435
chr20	31440631	31450257	ENSG00000180424.7	+	31450257
chr20	31535262	31535626	ENSG00000274364.1	+	31535626
chr20	31637911	31645006	ENSG00000131055.5	+	31645006
chr20	32052196	32101856	ENSG00000101336.18	+	32101856
chr20	32116170	32116629	ENSG00000275576.1	+	32116629
chr20	32186476	32190527	ENSG00000235217.6	-	32186476
chr20	32843127	32854257	ENSG00000260536.1	-	32843127
chr20	33079642	33111751	ENSG00000186191.9	+	33111751
chr20	33193584	33210462	ENSG00000290942.1	+	33210462
chr20	33217309	33227806	ENSG00000131059.12	+	33227806
chr20	33728930	33731828	ENSG00000229188.2	-	33728930
chr20	34132269	34136485	ENSG00000287853.1	+	34136485
chr20	34194568	34269344	ENSG00000101440.10	+	34269344
chr20	34476204	34476787	ENSG00000277558.1	+	34476787
chr20	34928431	34956027	ENSG00000100983.12	-	34928431
chr20	35002403	35092807	ENSG00000100991.12	-	35002403
chr20	35174354	35174919	ENSG00000278367.1	-	35174354
chr20	35226689	35276998	ENSG00000125966.10	+	35276998
chr20	35285730	35292425	ENSG00000125998.8	-	35285730
chr20	35285250	35285756	ENSG00000235214.1	+	35285756
chr20	35476202	35491005	ENSG00000230155.8	-	35476202
chr20	35523185	35529652	ENSG00000125975.14	-	35523185
chr20	36064242	36064563	ENSG00000277235.1	-	36064242
chr20	36233850	36234297	ENSG00000278035.1	+	36234297
chr20	36751790	36773818	ENSG00000149636.16	-	36751790
chr20	37903110	37945350	ENSG00000132821.12	+	37945350
chr20	38103523	38104961	ENSG00000277550.1	-	38103523
chr20	38233250	38233799	ENSG00000277829.1	-	38233250
chr20	38270777	38274020	ENSG00000285100.1	+	38274020
chr20	38419637	38435409	ENSG00000196756.15	-	38419637
chr20	38805696	38923024	ENSG00000101445.10	+	38923024
chr20	39655324	39663552	ENSG00000286083.1	-	39655324
chr20	40031584	40043889	ENSG00000233415.1	+	40043889
chr20	42014033	42015478	ENSG00000228959.1	-	42014033
chr20	42685403	42688562	ENSG00000229042.2	+	42688562
chr20	43726163	43727002	ENSG00000124196.6	-	43726163
chr20	43914851	44069616	ENSG00000124191.18	+	44069616
chr20	44347551	44355185	ENSG00000226812.2	-	44347551
chr20	44372745	44395706	ENSG00000229005.2	-	44372745
chr20	44751807	44810546	ENSG00000101098.13	-	44751807
chr20	45221372	45224458	ENSG00000124157.7	+	45224458
chr20	45469752	45481532	ENSG00000101443.18	+	45481532
chr20	45487612	45490248	ENSG00000237464.1	+	45490248
chr20	45512460	45515622	ENSG00000101446.8	-	45512460
chr20	45534195	45539482	ENSG00000243543.10	-	45534195
chr20	45551152	45579326	ENSG00000158901.12	-	45551152
chr20	45607938	45631284	ENSG00000180205.4	-	45607938
chr20	45702037	45708817	ENSG00000168634.5	+	45708817
chr20	45722346	45725830	ENSG00000149651.4	+	45725830
chr20	45823213	45833745	ENSG00000101470.10	-	45823213
chr20	45857613	45879122	ENSG00000132801.7	+	45879122
chr20	45890143	45898949	ENSG00000064601.21	+	45898949
chr20	47318501	47320754	ENSG00000267882.2	+	47320754
chr20	47348136	47349142	ENSG00000273451.1	-	47348136
chr20	47950796	47954808	ENSG00000234967.2	+	47954808
chr20	47958021	47958603	ENSG00000228503.1	+	47958603
chr20	48406776	48410716	ENSG00000274261.2	+	48410716
chr20	48476998	48477553	ENSG00000281460.1	+	48477553
chr20	49982979	49988886	ENSG00000124216.4	+	49988886
chr20	50040715	50041504	ENSG00000231265.1	-	50040715
chr20	50166361	50171742	ENSG00000234698.1	+	50171742
chr20	52671734	52699472	ENSG00000232294.6	+	52699472
chr20	53168642	53179550	ENSG00000223492.1	-	53168642
chr20	53799822	53827297	ENSG00000225563.2	-	53799822
chr20	55408897	55684915	ENSG00000235166.8	+	55684915
chr20	55504905	55505215	ENSG00000275923.1	-	55504905
chr20	55997356	56005519	ENSG00000054803.4	-	55997356
chr20	56295966	56299160	ENSG00000230843.1	-	56295966
chr20	56577562	56598621	ENSG00000225657.2	+	56598621
chr20	56629305	56639283	ENSG00000087510.7	+	56639283
chr20	57105740	57107128	ENSG00000231078.1	+	57107128
chr20	57266767	57282998	ENSG00000226308.2	+	57282998
chr20	57329802	57343994	ENSG00000054796.13	+	57343994
chr20	57442741	57458298	ENSG00000286052.1	+	57458298
chr20	58634771	58635738	ENSG00000268941.2	+	58635738
chr20	58754350	58756838	ENSG00000270279.1	+	58756838
chr20	58833808	58836529	ENSG00000268333.1	-	58833808
chr20	58876591	58876981	ENSG00000270951.1	-	58876591
chr20	59019428	59026654	ENSG00000101162.4	+	59026654
chr20	59300442	59325992	ENSG00000124205.18	+	59325992
chr20	60812003	60814211	ENSG00000261035.1	-	60812003
chr20	61079048	61083750	ENSG00000229606.2	+	61083750
chr20	61369878	61370855	ENSG00000276786.1	+	61370855
chr20	62214959	62220278	ENSG00000101180.17	-	62214959
chr20	62352969	62356480	ENSG00000228812.9	+	62356480
chr20	62386298	62387000	ENSG00000273619.2	-	62386298
chr20	62387102	62388520	ENSG00000171858.18	+	62388520
chr20	62477869	62478594	ENSG00000272050.1	+	62478594
chr20	62513908	62516096	ENSG00000260542.1	-	62513908
chr20	62575589	62577507	ENSG00000264490.3	+	62577507
chr20	62633680	62635504	ENSG00000232121.1	-	62633680
chr20	62633771	62635862	ENSG00000229882.1	+	62635862
chr20	62708835	62762771	ENSG00000101188.5	+	62762771
chr20	63034216	63037028	ENSG00000125514.9	-	63034216
chr20	63038010	63053863	ENSG00000237119.1	+	63053863
chr20	63127494	63129459	ENSG00000260416.1	-	63127494
chr20	63195428	63216139	ENSG00000149658.18	-	63195428
chr20	63448050	63449329	ENSG00000226390.1	+	63449329
chr20	63543410	63543738	ENSG00000275812.1	+	63543738
chr20	63730071	63730377	ENSG00000274501.1	-	63730071
chr20	63861497	63862988	ENSG00000183260.7	+	63862988
chr20	63939828	63956416	ENSG00000198276.16	-	63939828
chr20	63953383	63956985	ENSG00000280213.1	+	63956985
chr20	64073180	64079988	ENSG00000171700.14	-	64073180
chr20	64083375	64084398	ENSG00000171695.11	-	64083375
chr20	64080081	64100643	ENSG00000125510.18	+	64100643
chr21	5011798	5017145	ENSG00000279493.1	+	5017145
chr21	5499150	5502542	ENSG00000279094.3	-	5499150
chr21	5553636	5614880	ENSG00000274333.4	+	5614880
chr21	5707003	5709456	ENSG00000279064.1	-	5707003
chr21	6060339	6076305	ENSG00000280191.4	+	6076305
chr21	6111130	6123778	ENSG00000275993.4	+	6123778
chr21	6215290	6217681	ENSG00000288187.1	-	6215290
chr21	6228965	6267317	ENSG00000275496.4	-	6228965
chr21	6484622	6499248	ENSG00000275895.8	-	6484622
chr21	6499202	6564489	ENSG00000276076.6	+	6564489
chr21	6630181	6670695	ENSG00000280145.3	-	6630181
chr21	6667303	6670667	ENSG00000278878.1	-	6667303
chr21	6789591	6812297	ENSG00000279998.1	+	6812297
chr21	6986449	6997765	ENSG00000280018.4	-	6986449
chr21	7048890	7087229	ENSG00000277067.4	+	7087229
chr21	7430658	7469007	ENSG00000276077.4	+	7469007
chr21	7669396	7681742	ENSG00000277991.4	-	7669396
chr21	8197619	8227646	ENSG00000278996.1	+	8227646
chr21	8237648	8237979	ENSG00000286252.1	+	8237979
chr21	8238858	8239092	ENSG00000286057.1	+	8239092
chr21	8240735	8241047	ENSG00000286012.1	+	8241047
chr21	8420674	8421003	ENSG00000286146.1	+	8421003
chr21	8421882	8422116	ENSG00000286054.1	+	8422116
chr21	8423759	8424071	ENSG00000286178.1	+	8424071
chr21	8465253	8465586	ENSG00000286032.1	+	8465586
chr21	8466465	8466699	ENSG00000286091.1	+	8466699
chr21	8468319	8468631	ENSG00000286148.1	+	8468631
chr21	9068324	9129773	ENSG00000291050.1	-	9068324
chr21	9781909	9838011	ENSG00000280081.4	-	9781909
chr21	9913116	9914846	ENSG00000279321.1	+	9914846
chr21	12999675	13016692	ENSG00000229306.1	-	12999675
chr21	13038159	13052118	ENSG00000290568.1	+	13052118
chr21	13038207	13067033	ENSG00000224309.8	+	13067033
chr21	13843132	13848364	ENSG00000290541.1	-	13843132
chr21	14108812	14210955	ENSG00000188992.12	-	14108812
chr21	14821207	14821806	ENSG00000291291.1	-	14821207
chr21	16862874	16873691	ENSG00000232886.1	-	16862874
chr21	17438820	17450104	ENSG00000232560.7	+	17450104
chr21	17835015	17885608	ENSG00000231755.1	-	17835015
chr21	18561264	18760320	ENSG00000224141.6	-	18561264
chr21	19301612	19303739	ENSG00000231620.1	+	19303739
chr21	21723292	21737319	ENSG00000238265.1	-	21723292
chr21	21746972	21797415	ENSG00000233997.5	+	21797415
chr21	24043256	24050286	ENSG00000226996.5	+	24050286
chr21	24304545	24321377	ENSG00000224832.2	-	24304545
chr21	24306938	24547942	ENSG00000237484.7	+	24547942
chr21	24938430	24992817	ENSG00000230379.5	-	24938430
chr21	25055534	25069906	ENSG00000244278.1	+	25069906
chr21	25095021	25103670	ENSG00000232512.6	+	25103670
chr21	25169430	25361868	ENSG00000222042.2	-	25169430
chr21	25385387	25431701	ENSG00000185433.11	-	25385387
chr21	25515348	25518865	ENSG00000229962.2	-	25515348
chr21	25582769	25583326	ENSG00000260583.1	-	25582769
chr21	26349779	26350634	ENSG00000229025.1	-	26349779
chr21	26459902	26460214	ENSG00000273115.1	-	26459902
chr21	26378551	26471698	ENSG00000232692.1	+	26471698
chr21	27358884	27448579	ENSG00000231236.2	-	27358884
chr21	27361120	27395787	ENSG00000236332.2	+	27395787
chr21	27722378	27751233	ENSG00000225298.5	+	27751233
chr21	28048403	28137611	ENSG00000232079.7	+	28137611
chr21	28539317	28540355	ENSG00000226935.6	+	28540355
chr21	29055804	29073797	ENSG00000156261.13	-	29055804
chr21	29182026	29187795	ENSG00000224649.1	-	29182026
chr21	29193479	29288205	ENSG00000215533.8	+	29288205
chr21	29496046	29500386	ENSG00000234293.1	+	29500386
chr21	29657405	29657831	ENSG00000273464.1	+	29657831
chr21	29748174	29764002	ENSG00000174680.10	+	29764002
chr21	30089716	30097836	ENSG00000259981.1	+	30097836
chr21	30165564	30166805	ENSG00000156282.5	-	30165564
chr21	30281308	30282950	ENSG00000188694.6	-	30281308
chr21	30319123	30320315	ENSG00000197683.5	-	30319123
chr21	30396030	30396822	ENSG00000198390.5	+	30396822
chr21	30430219	30431026	ENSG00000186971.4	+	30431026
chr21	30592439	30593075	ENSG00000212938.3	+	30593075
chr21	30812696	30813274	ENSG00000183640.6	-	30812696
chr21	30829038	30829759	ENSG00000274749.1	-	30829038
chr21	30880643	30881580	ENSG00000182591.6	-	30880643
chr21	31666727	31667247	ENSG00000273271.1	-	31666727
chr21	32080315	32197813	ENSG00000230323.6	-	32080315
chr21	32259803	32261585	ENSG00000261610.1	-	32259803
chr21	32306463	32308737	ENSG00000232623.1	-	32306463
chr21	32790672	32791504	ENSG00000279690.1	-	32790672
chr21	32790672	32813743	ENSG00000205929.11	-	32790672
chr21	32958887	32960566	ENSG00000228961.1	+	32960566
chr21	33110866	33123725	ENSG00000226527.2	-	33110866
chr21	33164808	33170649	ENSG00000229086.5	-	33164808
chr21	33263872	33266296	ENSG00000223799.3	-	33263872
chr21	33403412	33479348	ENSG00000159128.16	+	33479348
chr21	33482498	33484258	ENSG00000231355.1	-	33482498
chr21	34364005	34371381	ENSG00000159197.4	+	34371381
chr21	34412199	34412587	ENSG00000273104.1	+	34412587
chr21	34418714	34423951	ENSG00000243627.5	-	34418714
chr21	34446687	34512214	ENSG00000180509.13	-	34446687
chr21	34723806	34737204	ENSG00000230978.2	-	34723806
chr21	36005136	36007838	ENSG00000231106.3	+	36007838
chr21	36319791	36320670	ENSG00000273199.1	-	36319791
chr21	36526279	36542855	ENSG00000286517.1	-	36526279
